Marvel Ladies Tailors,08045791426,4.0,19,"Shop No 2, Sri Venkateshwara Road No5, Saroor Nagar, Hyderabad - 500035, Naive High School Building",
Aanchal Boutique,+(91)-9849717681,3.9,7,"Shop No 6, Himayala Hotel, Red Hills, Hyderabad - 500004, Opposite Redhills Play Ground",
Sree Lakshmi Boutique,+(91)-6302957826,3.4,8,"Shop No C4 Maruthi Complex, Nizampet Village, Hyderabad - 500090, Opposite Vijetha Super Market",
Radhika Designer Boutique,08045793869,4.7,13,"Door No 1-72/2/14, Kmr Appartment, Gachibowli, Hyderabad - 500032, Beside Sri Krishna Gas Agency",
Kbr Designers,+(91)-9100135999,4.3,11,"Door No 6-1-344/16, Padmaraonagar Main Road, Padmarao Nagar, Hyderabad - 500025, Beside Enjoy Bakery",
Anus Designer Boutique,08045782223,5.0,1,"Shop No: 2, Blooming Main Road, Nizampet, Hyderabad - 500090, Near Beside Venkat Sai Enclave",
Annula Womens World Clothin..,08045792541,3.6,11,"101, Plot No 6 & 7, Annapurna Arcade, Main Road, AS Rao Nagar, Hyderabad - 500062, Beside Bar9, AS Rao Nagar Bus Stop",
R R Womens World,+(91)-9908213285,4.8,3,"Plot no 196, Shivanagar colony, Attapur, hyderabad - 500048, Piller no 154",
Sri Krishna Extension,+(91)-40-48555664,3.9,19,"Shop No #1-8-91/11/A,G Floor,, Jawahar Nagar,P G Road Sindhi Colony, Secunderabad, Hyderabad - 500003, Near Ram Mandir,Adjacent Lane to Dimmy Pan Shop",
Pranavi Designer Studio,07947211833,4.8,8,"Plot no 6, Kista Reddy Pet Road, Beeramguda, Hyderabad - 502032, Beside Delhi Mithai Wala Sweet Shop",
Kaminenis Fashion & Boutiqu..,08045788251,4.9,6,"Shopno 13 Shanta Estates, Moti Nagar, Hyderabad - 500018, Axis Bank",
Sahasra Designer Boutique,+(91)-8106715725,4.6,47,"S No 5, Chandana Archade, Road No 3,Ravindra Bharat School, Kphb Colony, Hyderabad - 500085, Near Temple Busstop",
Pns Collections,08045798406,4.8,50,"Ou Colony, Sheikpet, Manikonda, Hyderabad - 500089, Near Dodla Dairy",
Slns Boutique,+(91)-8008090660,4.7,3,"Jawahar Nagar, 1-1385-38, Ashok Nagar, Hyderabad - 500020, Near Siddamsetty Towers",
Moksha designer boutique,08045796468,3.4,6,"91/C, Western Hills, Kphb Colony, Hyderabad - 500085, Addagutta Society , Back Side Of Vishwanath Theatre",
Srujana Fashion Creator,+(91)-9348463888,3.8,4,"Plot No 33 H No 5-5-33/35, Vignanpuri Colony Near Mythri Nagar, Kukatpally, Hyderabad - 500072, Behind Metro Cash & Carry India Pvt Ltd",
